"","year","plot","site","CTI","CPI"
"1",1999,"1","Elkhorn",15.7391045354161,580.796251048889
"2",1999,"2","Elkhorn",15.2228462386046,640.096309382839
"3",1999,"3","Elkhorn",14.9164513773005,691.610665557583
"4",2000,"1","Elkhorn",15.9886353888381,559.885118086663
"5",2000,"2","Elkhorn",14.9291630316095,673.461350165338
"6",2000,"3","Elkhorn",14.1958763260186,756.792919059443
"7",2001,"1","Elkhorn",15.0716362129573,673.546634324631
"8",2001,"3","Elkhorn",14.8429181422504,692.054440017872
"9",2002,"1","Elkhorn",15.2483620381058,647.615565369952
"10",2002,"2","Elkhorn",15.1553924840017,646.345615487911
"11",2002,"3","Elkhorn",15.6379573992778,630.274797825379
"12",2003,"1","Elkhorn",15.6419427739201,603.174326302882
"13",2003,"2","Elkhorn",15.4490050805327,605.390654047728
"14",2003,"3","Elkhorn",16.0083560208083,561.952318346809
"15",2004,"1","Elkhorn",15.8954653878522,571.554493876792
"16",2004,"2","Elkhorn",15.7468268153692,587.955442429923
"17",2004,"3","Elkhorn",16.2251458115212,531.876354590674
"18",2005,"1","Elkhorn",15.4694034597997,628.826283510394
"19",2005,"2","Elkhorn",15.719584725562,589.928268331897
"20",2005,"3","Elkhorn",16.1831361432025,531.501790715234
"21",2006,"1","Elkhorn",16.0895378114756,551.056269061686
"22",2006,"2","Elkhorn",15.6686162824928,599.656561650964
"23",2006,"3","Elkhorn",16.0323621005278,549.269671970279
"24",2007,"1","Elkhorn",15.9744399567549,572.129419324764
"25",2007,"2","Elkhorn",15.6615670790992,593.790978218501
"26",2007,"3","Elkhorn",16.1989186206777,542.05921137538
"27",2008,"1","Elkhorn",16.0492395992427,570.796720443251
"28",2008,"2","Elkhorn",15.7966303502973,597.682330168747
"29",2008,"3","Elkhorn",16.2110115641543,553.402970363014
"30",2009,"1","Elkhorn",15.7896728950381,597.792940434894
"31",2009,"2","Elkhorn",15.8836748721455,579.60783305313
"32",2009,"3","Elkhorn",16.1865872043669,558.727369451827
"33",2010,"1","Elkhorn",15.8339776885474,592.295449611777
"34",2010,"2","Elkhorn",15.7851511526673,597.595200881383
"35",2010,"3","Elkhorn",16.3203422251358,543.244463542358
"36",2011,"1","Elkhorn",15.7170704286381,614.593730733934
"37",2011,"2","Elkhorn",15.7400745947877,614.229534055251
"38",2011,"3","Elkhorn",16.2424655830924,559.738221602847
"39",2012,"1","Elkhorn",15.9544783858101,582.524142174848
"40",2012,"2","Elkhorn",15.5868302606943,616.775990483418
"41",2012,"3","Elkhorn",16.1360266115804,572.512136997097
"42",2013,"1","Elkhorn",15.9932015784879,582.739028230668
"43",2013,"2","Elkhorn",15.9821672725982,574.594273688965
"44",2013,"3","Elkhorn",16.2112029970842,547.420422237715
"45",2014,"1","Elkhorn",16.1572620913899,552.639564559763
"46",2014,"2","Elkhorn",16.0306207442568,563.229173587747
"47",2014,"3","Elkhorn",16.1952134284703,544.383061062567
"48",2015,"1","Elkhorn",16.1713138590329,546.810239592952
"49",2015,"2","Elkhorn",15.8424329395233,594.897344611269
"50",2015,"3","Elkhorn",16.6046044207321,524.276870640934
"51",2016,"1","Elkhorn",16.3048022683952,540.458347600482
"52",2016,"2","Elkhorn",16.0700456884102,571.00459232511
"53",2016,"3","Elkhorn",16.3661213655227,536.866676391844
"54",2017,"1","Elkhorn",15.7621550459907,598.270541386073
"55",2017,"2","Elkhorn",16.2918165555039,553.177336939775
"56",2017,"3","Elkhorn",16.2814065777896,545.370315580096
"57",2018,"1","Elkhorn",15.9011089424212,588.813675803054
"58",2018,"2","Elkhorn",16.0026677095023,568.964778495912
"59",2018,"3","Elkhorn",16.2102397238255,557.821593862681
