"","freq","treat","rep","year","species.name","intercepts","guild","site"
"1","1x clip","LL",1,1999,"Erodium botrys",6,"EAF","UCSC"
"2","1x clip","LL",3,1999,"Erodium botrys",1,"EAF","UCSC"
"3","1x clip","RE",1,1999,"Erodium botrys",10,"EAF","UCSC"
"4","1x clip","RE",2,1999,"Erodium botrys",1,"EAF","UCSC"
"5","1x clip","RE",3,1999,"Erodium botrys",5,"EAF","UCSC"
"6","1x clip","SD",1,1999,"Erodium botrys",4,"EAF","UCSC"
"7","1x clip","SD",2,1999,"Erodium botrys",8,"EAF","UCSC"
"8","1x clip","SD",3,1999,"Erodium botrys",1,"EAF","UCSC"
"9","2x clip","RE",1,1999,"Erodium botrys",8,"EAF","UCSC"
"10","2x clip","RE",2,1999,"Erodium botrys",4,"EAF","UCSC"
"11","2x clip","RE",3,1999,"Erodium botrys",3,"EAF","UCSC"
"12","2x clip","SD",1,1999,"Erodium botrys",4,"EAF","UCSC"
"13","2x clip","SD",2,1999,"Erodium botrys",3,"EAF","UCSC"
"14","2x clip","SD",3,1999,"Erodium botrys",2,"EAF","UCSC"
"15","3x clip","LL",1,1999,"Erodium botrys",1,"EAF","UCSC"
"16","3x clip","LL",2,1999,"Erodium botrys",7,"EAF","UCSC"
"17","3x clip","LL",3,1999,"Erodium botrys",2,"EAF","UCSC"
"18","3x clip","RE",1,1999,"Erodium botrys",4,"EAF","UCSC"
"19","3x clip","RE",2,1999,"Erodium botrys",13,"EAF","UCSC"
"20","3x clip","RE",3,1999,"Erodium botrys",1,"EAF","UCSC"
"21","3x clip","SD",1,1999,"Erodium botrys",3,"EAF","UCSC"
"22","3x clip","SD",2,1999,"Erodium botrys",4,"EAF","UCSC"
"23","3x clip","SD",3,1999,"Erodium botrys",1,"EAF","UCSC"
"24","Control","no",1,1999,"Erodium botrys",5,"EAF","UCSC"
"25","Control","no",2,1999,"Erodium botrys",2,"EAF","UCSC"
"26","Control","no",3,1999,"Erodium botrys",6,"EAF","UCSC"
"27","Grazed","no",1,1999,"Erodium botrys",6,"EAF","UCSC"
"28","Grazed","no",3,1999,"Erodium botrys",1,"EAF","UCSC"
"29","Grazed","no",2,1999,"Erodium botrys",1,"EAF","UCSC"
"30","2x clip","RE",3,1999,"Erodium cicutarium",3,"EAF","UCSC"
"31","2x clip","SD",1,1999,"Erodium cicutarium",1,"EAF","UCSC"
"32","Control","no",3,1999,"Erodium cicutarium",4,"EAF","UCSC"
"33","1x clip","LL",1,1999,"Geranium dissectum",3,"EAF","UCSC"
"34","1x clip","RE",2,1999,"Geranium dissectum",1,"EAF","UCSC"
"35","1x clip","RE",3,1999,"Geranium dissectum",2,"EAF","UCSC"
"36","1x clip","SD",3,1999,"Geranium dissectum",2,"EAF","UCSC"
"37","2x clip","LL",2,1999,"Geranium dissectum",1,"EAF","UCSC"
"38","2x clip","LL",3,1999,"Geranium dissectum",5,"EAF","UCSC"
"39","2x clip","RE",1,1999,"Geranium dissectum",9,"EAF","UCSC"
"40","2x clip","RE",2,1999,"Geranium dissectum",4,"EAF","UCSC"
"41","2x clip","RE",3,1999,"Geranium dissectum",4,"EAF","UCSC"
"42","2x clip","SD",3,1999,"Geranium dissectum",6,"EAF","UCSC"
"43","3x clip","LL",1,1999,"Geranium dissectum",4,"EAF","UCSC"
"44","3x clip","LL",3,1999,"Geranium dissectum",8,"EAF","UCSC"
"45","3x clip","RE",2,1999,"Geranium dissectum",1,"EAF","UCSC"
