,,,,,Hits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seedlings,,,
SITE,FREQ,TREAT,REP,Comments,aircar,anaarv,anamin,avebar,bare,brach,brassp,brimaj,brimin,brocar,brodia,brohor,broter,calcil,camova,carex,carpyc,cartum,cerglo,chamisonia,cilmar,cirglo,cirarv,cirvul,cladav,conarv,conyza,cynech,dancal,dung,elemac,erobot,erocic,eromos,esccal,gerdis,hollan,horbra,hornur,hypgla,hyprad,junbuf,jun mex,junocc,junpat,junpha,linbie,lolmul,lolper,lupnan,lythys,madcap,madsat,medpol,naslep,naspul,phaaqu,plalan,poaann,rumace,rumpul,scikoi,shearv,sisbel,stipul,solses,sonasp,sonole,stenit,stemed,thatch,triang,tridub,trisub,trypus,verpur,vicia,vulpsp,,Madia sativa,Clarkia davyi,Sisyrinch bellum,Comments
elk,CL1,LL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,22,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,79,,,,,
elk,CL1,LL,2,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,,32,1,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,5,,,,46,,,,,
elk,CL1,LL,3,,,1,,9,,,,,5,,,,,,,,,,,,,,,,,,,,1,,,98,,,,,,,,35,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,6,,,,,
elk,CL1,SD,1,,,,,2,,4,,,,,1,,,,3,,,,,,,,,,,,,,,,,87,,,,,,,,8,,,,,,,,,,63,,,,,,,,1,,,,,,,,,,,,,,,,,,,,18,,,,,
elk,CL1,SD,2,,,,,24,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,95,,,,,,,,34,,,,,,,,,,2,,,,,,,,3,,1,,,,,,,,,,,,,,,,,,1,,,,,
elk,CL1,SD,3,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,2,,,69,,,,,,,,27,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,
elk,CLA,LL,1,,,,,10,,24,,,,,1,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,62,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,3,,,,,
elk,CLA,LL,2,,,3,,3,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,84,,,,,,,,57,1,,,,,,,2,,7,,,,,,,,4,,,,,,,,,,,,,,,,1,,,,2,,,,,
elk,CLA,LL,3,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,1,,,97,,,,,,,,32,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elk,CLA,SD,1,,,,,,,2,,,,,3,,,,,,,,,,,,,,,,,,,,,97,,,,,,,,44,,,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,
elk,CLA,SD,2,,,3,,5,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,78,,,,,,,,27,,,,,,,,1,,23,,,,,,,,5,,,,,,,,,,,,,,,,,,,,2,,,,,
elk,CLA,SD,3,,,,,8,,33,,,,,2,,,,,,4,,,,,,,,,,,,,,,87,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,7,,,,,
elk,NM,LL,1,,,,,22,,,,,,,62,,,,,,15,,,,,,,,,,,,,,,4,,,,2,,,,3,,,,,,,,1,,,,,,,,,,7,,3,,,,,,,,,,,8,,,,,,,1,,,,,
elk,NM,LL,2,,,,,75,,2,,,,,4,,,,,,11,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,7,,,,,,,,,,5,,6,,,,,,,,,,,2,,,,,,,12,,,,,
elk,NM,LL,3,,,,,1,,,,,,,21,,,,,,2,,,,,,,,,,,,,,,53,,,,1,,,,47,4,,,,,,,4,,,,,,,,,,15,,1,,,,,,,,,,,1,,,,,,,,,,,,
elk,NM,LL,4,,,,,9,3,3,,,,,10,,,,,,30,,,,,,,,,,,,,,,16,,,,3,,,,12,,,,,,,,27,,,,,,,,,,21,,,,,,,,,,,,,,,,1,,,,4,,,,,
elk,NM,LL,5,,,,,36,,,,,,,1,,,,,,33,,,,,,,,,,,,1,,,56,,,,,,,,13,,,,,,,,3,,,,,,,,,,6,,,,,,,,,,,,,3,,,,,,,1,,,,,
