Species_Name,Genus,Species,Family,Native.Exotic,Grass.Forb.Shrub,Annual.Perennial,Monocot.Dicot
Achillea millefolium,Achillea,millefolium,Asteraceae,Native,Forb,Perennial,dicot
Achyrachaena mollis,Achyrachaena,mollis,Asteraceae,Native,Forb,Annual,dicot
Adenostoma fasciculatum,Adenostoma,fasciculatum,Rosaceae,Native,Shrub,Perennial,dicot
Agoseris grandiflora,Agoseris,grandiflora,Asteraceae,Native,Forb,Perennial,dicot
Agoseris heterophylla,Agoseris,heterophylla,Asteraceae,Native,Forb,Annual,dicot
Allophyllum gilioides,Allophyllum,gilioides,Polemoniaceae,Native,Forb,Annual,dicot
Amsinckia menziesii,Amsinckia,menziesii,Boraginaceae,Native,Forb,Annual,dicot
Anagallis arvensis,Anagallis,arvensis,Primulaceae,Exotic,Forb,Annual,dicot
Ancistrocarphus filagineus,Ancistrocarphus,filagineus,Asteraceae,Native,Forb,Annual,dicot
Anthriscus caucalis,Anthriscus,caucalis,Apiaceae,Exotic,Forb,Annual,dicot
Antirrhinum vexillo-calyculatum,Antirrhinum,vexillo-calyculatum,Plantaginaceae,Native,Forb,Annual,dicot
Aphanes occidentalis,Aphanes,occidentalis,Rosaceae,Native,Forb,Annual,dicot
Apocynum cannabinum,Apocynum,cannabinum,Apocynaceae,Native,Forb,Perennial,dicot
Asclepias eriocarpa,Asclepias,eriocarpa,Apocynaceae,Native,Forb,Perennial,dicot
Asclepias fascicularis,Asclepias,fascicularis,Asclepiadaceae,Native,Forb,Perennial,dicot
Astragalus breweri,Astragalus,breweri,Fabaceae,Native,Forb,Annual,dicot
Astragalus gambelianus,Astragalus,gambelianus,Fabaceae,Native,Forb,Annual,dicot
Astragalus rattanii var. jepsonianus,Astragalus,rattanii var. jepsonianus,Fabaceae,Native,Forb,Annual,dicot
Athysanus pusillus,Athysanus,pusillus,Brassicaceae,Native,Forb,Annual,dicot
Atriplex triangularis,Atriplex,triangularis,Chenopodiaceae,Native,Forb,Annual,dicot
Bellardia trixago,Bellardia,trixago,Scrophulariaceae,Exotic,Forb,Annual,dicot
Brassica nigra,Brassica,nigra,Brassicaceae,Exotic,Forb,Annual,dicot
Calandrinia ciliata,Calandrinia,ciliata,Portulacaceae,Native,Forb,Annual,dicot
Calycadenia pauciflora,Calycadenia,pauciflora,Asteraceae,Native,Forb,Annual,dicot
Camissonia graciliflora,Camissonia,graciliflora,Onagraceae,Native,Forb,Annual,dicot
Camissonia ovata,Camissonia,ovata,Onagraceae,Native,Forb,Perennial,dicot
Capsella bursa-pastoris,Capsella,bursa.pastoris,Brassicaceae,Exotic,Forb,Annual,dicot
Cardamine oligosperma,Cardamine,oligosperma,Brassicaceae,Native,Forb,Annual,dicot
Carduus pycnocephalus,Carduus,pycnocephalus,Asteraceae,Exotic,Forb,Annual,dicot
Castilleja attenuata,Castilleja,attenuata,Scrophulariaceae,Native,Forb,Annual,dicot
Castilleja densiflora,Castilleja,densiflora,Scrophulariaceae,Native,Forb,Annual,dicot
Castilleja exserta,Castilleja,exserta,Scrophulariaceae,Native,Forb,Annual,dicot
Castilleja rubicundula,Castilleja,rubicundula,Scrophulariaceae,Native,Forb,Annual,dicot
Centaurea melitensis,Centaurea,melitensis,Asteraceae,Exotic,Forb,Annual,dicot
Centaurea solstitialis,Centaurea,solstitialis,Asteraceae,Exotic,Forb,Annual,dicot
Centaurium trichanthum,Centaurium,trichanthum,Gentianaceae,Native,Forb,Annual,dicot
Cerastium glomeratum,Cerastium,glomeratum,Caryophyllaceae,Exotic,Forb,Annual,dicot
Cerastium vulgare,Cerastium,vulgare,Caryophyllaceae,Exotic,Forb,Perennial,dicot
Cercocarpus betuloides,Cercocarpus,betuloides,Rosaceae,Native,Shrub,Perennial,dicot
Chaenactis glabriuscula,Chaenactis,glabriuscula,Asteraceae,Native,Forb,Annual,dicot
Chamomilla suaveolens,Chamomilla,suaveolens,Asteraceae,Exotic,Forb,Annual,dicot
Chorizanthe membranacea,Chorizanthe,membranacea,Polygonaceae,Native,Forb,Annual,dicot
Chorizanthe polygonoides,Chorizanthe,polygonoides,Polygonaceae,Native,Forb,Annual,dicot
Cirsium vulgare,Cirsium,vulgare,Asteraceae,Exotic,Forb,Perennial,dicot
Clarkia gracilis,Clarkia,gracilis,Onagraceae,Native,Forb,Annual,dicot
Clarkia purpurea,Clarkia,purpurea,Onagraceae,Native,Forb,Annual,dicot
Claytonia exigua,Claytonia,exigua,Portulacaceae,Native,Forb,Annual,dicot
Claytonia parviflora,Claytonia,parviflora,Portulacaceae,Native,Forb,Annual,dicot
Collinsia heterophylla,Collinsia,heterophylla,Scrophulariaceae,Native,Forb,Annual,dicot
Collinsia sparsiflora,Collinsia,sparsiflora,Scrophulariaceae,Native,Forb,Annual,dicot
Convolvulus arvensis,Convolvulus,arvensis,Convolvulaceae,Exotic,Forb,Annual,dicot
Crassula connata,Crassula,connata,Crassulaceae,Native,Forb,Annual,dicot
Cryptantha hispidula,Cryptantha,hispidula,Boraginaceae,Native,Forb,Annual,dicot
Cuscuta californica,Cuscuta,californica,Convolvulaceae,Native,Forb,Annual,dicot
Daucus pusillus,Daucus,pusillus,Apiaceae,Exotic,Forb,Annual,dicot
Delphinium hesperium,Delphinium,hesperium,Ranunculaceae,Native,Forb,Perennial,dicot
Delphinium variegatum,Delphinium,variegatum,Ranunculaceae,Native,Forb,Perennial,dicot
Dodecatheon hendersonii,Dodecatheon,hendersonii,Primulaceae,Native,Forb,Perennial,dicot
Epilobium brachycarpum,Epilobium,brachycarpum,Onagraceae,Native,Forb,Annual,dicot
Eremocarpus setigerus,Eremocarpus,setigerus,Euphorbiaceae,Native,Forb,Annual,dicot
Eriodictyon californicum,Eriodictyon,californicum,Hydrophyllaceae,Native,Shrub,Perennial,dicot
Eriogonum covilleanum,Eriogonum,\covilleanum\,Polygonaceae,Native,Forb,Annual,dicot
Eriogonum nudum,Eriogonum,nudum,Polygonaceae,Native,Shrub,Perennial,dicot
Eriogonum vimineum,Eriogonum,vimineum,Polygonaceae,Native,Forb,Annual,dicot
Eriophyllum lanatum,Eriophyllum,lanatum,Asteraceae,Native,Forb,Perennial,dicot
Erodium botrys,Erodium,botrys,Geraniaceae,Exotic,Forb,Annual,dicot
Erodium brachycarpum,Erodium,brachycarpum,Geraniaceae,Exotic,Forb,Annual,dicot
Erodium cicutarium,Erodium,cicutarium,Geraniaceae,Exotic,Forb,Annual,dicot
Eschscholzia californica,Eschscholzia,californica,Papaveraceae,Native,Forb,Perennial,dicot
Euphorbia crenulata,Euphorbia,crenulata,Euphorbiaceae,Native,Forb,Annual,dicot
Filago californica,Filago,californica,Asteraceae,Native,Forb,Annual,dicot
Filago gallica,Filago,gallica,Asteraceae,Exotic,Forb,Annual,dicot
