"","X","tmt","plot","year","species.name","cover","guild","site"
"1",1,"C",6,2003,"Danthonia californica ",2,"NPG","Angelo"
"2",2,"C",6,2004,"Danthonia californica ",4,"NPG","Angelo"
"3",3,"C",6,2005,"Danthonia californica ",2,"NPG","Angelo"
"4",4,"C",6,2006,"Danthonia californica ",10,"NPG","Angelo"
"5",5,"C",6,2007,"Danthonia californica ",9,"NPG","Angelo"
"6",6,"C",6,2008,"Danthonia californica ",10,"NPG","Angelo"
"7",7,"C",6,2009,"Danthonia californica ",6,"NPG","Angelo"
"8",8,"C",6,2010,"Danthonia californica ",3,"NPG","Angelo"
"9",9,"C",6,2011,"Danthonia californica ",1,"NPG","Angelo"
"10",10,"C",6,2012,"Danthonia californica ",4,"NPG","Angelo"
"11",11,"C",6,2013,"Danthonia californica ",5,"NPG","Angelo"
"12",12,"C",6,2014,"Danthonia californica ",2,"NPG","Angelo"
"13",13,"C",6,2015,"Danthonia californica ",8,"NPG","Angelo"
"14",14,"C",17,2010,"Danthonia californica ",2,"NPG","Angelo"
"15",15,"C",33,2015,"Danthonia californica ",1,"NPG","Angelo"
"16",16,"C",6,2002,"Bromus hordeaceus ",19,"EAG","Angelo"
"17",17,"C",6,2003,"Bromus hordeaceus ",7,"EAG","Angelo"
"18",18,"C",6,2004,"Bromus hordeaceus ",11,"EAG","Angelo"
"19",19,"C",6,2005,"Bromus hordeaceus ",2,"EAG","Angelo"
"20",20,"C",6,2006,"Bromus hordeaceus ",14,"EAG","Angelo"
"21",21,"C",6,2007,"Bromus hordeaceus ",13,"EAG","Angelo"
"22",22,"C",6,2008,"Bromus hordeaceus ",13,"EAG","Angelo"
"23",23,"C",6,2009,"Bromus hordeaceus ",16,"EAG","Angelo"
"24",24,"C",6,2010,"Bromus hordeaceus ",14,"EAG","Angelo"
"25",25,"C",6,2011,"Bromus hordeaceus ",20,"EAG","Angelo"
"26",26,"C",6,2012,"Bromus hordeaceus ",14,"EAG","Angelo"
"27",27,"C",6,2013,"Bromus hordeaceus ",23,"EAG","Angelo"
"28",28,"C",6,2014,"Bromus hordeaceus ",8,"EAG","Angelo"
"29",29,"C",6,2015,"Bromus hordeaceus ",10,"EAG","Angelo"
"30",30,"C",17,2002,"Bromus hordeaceus ",21,"EAG","Angelo"
"31",31,"C",17,2003,"Bromus hordeaceus ",5,"EAG","Angelo"
"32",32,"C",17,2004,"Bromus hordeaceus ",7,"EAG","Angelo"
"33",33,"C",17,2005,"Bromus hordeaceus ",24,"EAG","Angelo"
"34",34,"C",17,2006,"Bromus hordeaceus ",31,"EAG","Angelo"
"35",35,"C",17,2007,"Bromus hordeaceus ",13,"EAG","Angelo"
"36",36,"C",17,2008,"Bromus hordeaceus ",14,"EAG","Angelo"
"37",37,"C",17,2009,"Bromus hordeaceus ",15,"EAG","Angelo"
"38",38,"C",17,2010,"Bromus hordeaceus ",9,"EAG","Angelo"
"39",39,"C",17,2011,"Bromus hordeaceus ",15,"EAG","Angelo"
"40",40,"C",17,2012,"Bromus hordeaceus ",14,"EAG","Angelo"
"41",41,"C",17,2013,"Bromus hordeaceus ",21,"EAG","Angelo"
"42",42,"C",17,2014,"Bromus hordeaceus ",11,"EAG","Angelo"
"43",43,"C",17,2015,"Bromus hordeaceus ",14,"EAG","Angelo"
"44",44,"C",24,2002,"Bromus hordeaceus ",20,"EAG","Angelo"
"45",45,"C",24,2003,"Bromus hordeaceus ",10,"EAG","Angelo"
"46",46,"C",24,2004,"Bromus hordeaceus ",7,"EAG","Angelo"
"47",47,"C",24,2005,"Bromus hordeaceus ",16,"EAG","Angelo"
"48",48,"C",24,2006,"Bromus hordeaceus ",12,"EAG","Angelo"
"49",49,"C",24,2007,"Bromus hordeaceus ",2,"EAG","Angelo"
"50",50,"C",24,2008,"Bromus hordeaceus ",11,"EAG","Angelo"
"51",51,"C",24,2009,"Bromus hordeaceus ",5,"EAG","Angelo"
"52",52,"C",24,2010,"Bromus hordeaceus ",9,"EAG","Angelo"
