,,,,Hits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SITE,FREQ,TREAT,REP,aircar,anaarv,avebar,bare,brach,brassp,brimin,brodia,camova,carpyc,cartum,cerglo,conarv,cynech,dancal,erobot,esccal,gerdis,hollan,hornur,hypgla,hyprad,junbuf,junpat,junpha,linbie,lolmul,lupnan,lythys,phaaqu,plalan,poaann,rumace,rumpul,scikoi,shearv,stipul,solses,sonasp,sonole,thatch,triang,tridub,trisub,verpur,vicia,vulpia,Comments,
elk,CL1,LL,1,,,,,,,,,,,,,,,6,89,,3,,,19,24,,,,,,,,,1,,,,,,,,,,,,,1,,,18,161,
elk,CL1,LL,2,,1,16,,,,2,,,,,,,,,77,,,,,14,,,,,,,,,,6,,,,5,,,,,,,,,5,,,48,175,Speedwell:1
elk,CL1,LL,3,,,7,,,,2,2,,,,,,,7,97,,,,,29,,,,,,,,,,,,,,3,,,,,,,,,,,,23,170,
elk,CL1,SD,1,,,25,2,,,,4,2,,,,,,,80,,,,,22,,,,,,,34,,,1,,,,,,,,,,,,,,,,10,180,
elk,CL1,SD,2,,,17,,,,,2,1,,,,1,1,3,89,,,,,17,,1,,,,,,,,3,,,,1,,,,,,,,,,,,18,154,
elk,CL1,SD,3,,,4,,,,,1,,,,,,,1,93,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,42,150,
elk,CLA,LL,1,,,10,,22,,,2,,,,,,,,87,,1,,,69,,,,,,,,,,,,,,,,,,,,,,,1,,,18,210,
elk,CLA,LL,2,,,3,,6,,,10,,,,,,,12,99,,,,,52,,,,,,2,,,,4,,,,3,,,,,,,,,,,,21,212,
elk,CLA,LL,3,,2,,,15,,,,,,,,,,9,87,,,,,33,,,,,,13,2,,,1,,,,5,,,,,,,,,2,,,12,181,
elk,CLA,SD,1,,,3,,15,,,10,,1,,,,,,94,,,,,19,,,,,,6,,,,3,,,,,,,,,,,,,,,,17,168,
elk,CLA,SD,2,,1,4,,,,,3,,,,,,3,,94,,,,,50,,,,,,5,,,,7,,,,22,,,,,,1,,,,,1,3,196,eromos:2
elk,CLA,SD,3,,1,2,,83,,,1,,,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,185,
elk,NM,LL,1,,1,3,,7,,,45,,6,,,,,,3,,7,,,4,,,,,,4,,,,,,,,,,,,,1,18,,,,,,16,115,
elk,NM,LL,2,,2,,,,,,25,,33,,,,,1,3,,4,,,,,,,,,,,,,1,,4,,,,,,,,35,,,,,,1,109,
elk,NM,LL,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no data sheet
elk,NM,LL,4,,3,10,,1,,,25,,16,,,,2,,35,,3,,,23,,,,,,25,,,,,,,,,,,,,,9,,,,,,17,169,
elk,NM,LL,5,,5,12,1,,,1,21,,35,,,,3,,8,,,,,3,,,,,,6,,,,,,,,1,,,,,,24,,,,,,12,132,
elk,NM,LL,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no data sheet
elk,CLB,LL,1,,2,1,,19,,,3,,10,,,,,,56,,2,,,30,,,,,,8,,,,,,,,,,,,,,,,,,,,33,164,
elk,CLB,LL,2,,,15,,,,,,,,,,,,,61,,,,,33,,,,,,53,,,,4,,10,1,1,,,,,,,,,,,,1,179,
elk,CLB,LL,3,,,6,,,,,1,,,,,,4,8,81,,,,,61,,,,,,8,,,,5,,4,,,,,,,,,,,,,,6,184,
elk,CLB,SD,1,,4,8,,2,,,32,,,,,,,1,81,,4,,,47,,,,,,9,,,,7,,3,,,,,,,,,,,1,,,2,201,
elk,CLB,SD,2,,,1,,,,,6,,,,,,,1,87,,,,,9,,,,,,44,,,,2,,,,,,,,,,,,,2,,,18,170,
elk,CLB,SD,3,,2,18,1,,,,,,,,,,,,94,,,,,18,,,,,,4,,,,,,,,2,,,,,,,,,,,,3,142,
elk,CLC,LL,1,,,1,,28,,,10,1,,,,,,2,88,,,,,15,,,,,,4,,,,5,,,,,,,,,,,,,,,,10,164,
elk,CLC,LL,2,,,,,,,,1,,,,,,1,4,65,,,,,61,,,,1,,,,,,6,,,,12,,,,,,3,,,,,,16,170,
elk,CLC,LL,3,,,8,,8,,,2,,,,,,,1,60,,3,,,36,,,,,,3,10,,,4,,,,5,,,,,,,,,,,1,32,173,
elk,NM,SD,1,,2,50,,,,,2,,39,,,,,,1,,4,,,,,,,2,,,,,,,,,,,,,,,,18,,,,,,1,119,
elk,NM,SD,2,,,15,,3,,,20,,4,,,4,,,52,,2,,,34,,,,,,21,,,,1,,,,,,,,,,3,,,2,,,9,170,
elk,NM,SD,3,,,16,,,,,26,,15,,,,,,22,,8,,,,,,,,,13,,,,,,,,,,,,,,13,,,,,,13,126,
elk,CONTROL,,1,,4,21,,1,,,21,,2,,,,,,34,,10, ,,11,,,,,,5,,,,,,1,,2,,,,,7,12,,,,,,26,157,
elk,CONTROL,,2,,1,7,,30,,,30,,3,,1,,,,22,,18,,,7,,,,1,,4,,,,1,,14,,,,,,,,5,,,,,,7,151,
elk,CONTROL,,3,,7,,,31,,,9,,1,,,,1,,14,,1,,,4,,,,,,11,,,,,,3,,,,,,,,22,,,,,,28,132,
elk,GRAZED,,1,,1,4,,,,1,1,,,,,,,8,86,,,,,30,,,,,1,2,9,,,17,,4,,,,,,,,,,2,13,,,9,188,
elk,GRAZED,,2,,,56,2,,,,20,,,,,,,,64,,,,,2,,,,,,13,,,,,,,,,,,,,,,,,6,,,2,165,
elk,GRAZED,,3,,,16,,1,,,8,,,,,,,,77,,1,,,7,,,,,,19,51,,,2,,,,,,,,,,,,,35,,,1,218,
